Times,OffenseTeam,Down,ToGo,Result,YardLineFixed
15:04,TEN,4,5,Made,23
33:42,LA,4,11,Made,28
34:53,CAR,4,2,Made,12
5:26,DEN,4,4,Made,18
8:41,SEA,4,7,Made,7
3:55,CAR,4,3,Made,3
58:35,ARI,4,2,Made,7
24:42,SEA,4,17,Missed,21
16:42,NO,4,5,Made,5
12:44,SF,4,18,Made,25
7:28,NYG,4,2,Made,29
15:05,PIT,1,10,Made,12
34:48,ARI,4,3,Made,5
27:54,NYG,4,18,Made,21
30:00,NE,4,1,Made,8
30:12,NE,4,14,Made,14
21:39,NYJ,4,6,Made,30
19:03,BUF,4,18,Missed,28
16:49,NYJ,4,3,Made,34
8:01,ATL,4,2,Made,30
30:00,CHI,4,12,Made,36
32:15,ATL,4,10,Made,10
48:29,ATL,4,6,Made,19
4:47,BAL,4,6,Made,7
31:09,BAL,4,7,Made,7
39:31,CLE,4,5,Made,6
4:40,ARI,4,8,Made,11
2:46,ARI,4,6,Made,6
15:44,ARI,4,10,Missed,14
15:03,DET,4,4,Made,40
12:12,JAX,4,4,Made,24
29:52,JAX,4,7,Made,7
56:27,JAX,4,5,Missed,21
48:15,JAX,4,3,Made,20
30:00,OAK,4,2,Made,2
15:48,TEN,4,5,Made,5
15:02,OAK,2,5,Made,34
34:36,OAK,4,10,Made,34
30:01,TEN,4,3,Made,8
49:54,TEN,4,10,Made,34
46:14,OAK,4,4,Made,25
45:12,TEN,1,10,Missed,34
15:04,PHI,2,10,Made,32
40:42,PHI,4,12,Made,24
32:11,WAS,4,9,Made,15
47:02,PHI,4,1,Made,20
12:48,LA,4,3,Made,32
6:25,IND,4,2,Made,2
15:22,LA,4,2,Made,17
42:08,IND,4,6,Missed,20
37:28,LA,4,12,Made,26
15:04,SEA,3,10,Made,15
34:23,SEA,4,3,Made,3
53:05,GB,4,10,Made,22
51:21,SEA,4,10,Made,23
18:28,CAR,4,6,Made,21
15:05,CAR,2,10,Made,18
33:14,CAR,4,2,Made,2
30:13,SF,4,6,Made,26
6:28,DAL,4,3,Made,3
27:51,DAL,4,21,Made,30
15:07,DAL,3,1,Made,25
35:20,NYG,4,7,Made,7
47:00,DAL,4,11,Made,18
8:26,NO,4,15,Made,25
1:05,MIN,4,6,Made,7
20:30,NO,4,2,Made,2
41:11,MIN,4,3,Made,13
32:46,NO,4,6,Made,6
52:53,NO,4,2,Made,2
49:05,MIN,4,1,Made,27
30:03,DEN,4,2,Made,2
49:12,DEN,4,26,Missed,32
45:05,LAC,4,2,Missed,26
1:32,HOU,4,8,Made,8
28:48,CIN,4,17,Made,21
15:06,CIN,3,10,Made,11
36:30,CIN,4,6,Made,12
47:01,HOU,4,5,Made,24
16:01,BAL,4,6,Missed,40
39:24,CLE,4,8,Made,20
60:00,BAL,4,5,Made,10
8:54,CAR,4,6,Made,16
17:06,CAR,4,10,Made,10
56:15,BUF,4,3,Made,27
47:38,CAR,4,2,Made,2
7:52,IND,4,10,Made,11
1:33,IND,4,4,Made,28
20:59,ARI,4,9,Made,9
56:45,IND,4,11,Made,11
48:28,ARI,4,4,Made,22
45:03,ARI,3,3,Missed,24
7:30,JAX,4,1,Made,25
2:20,TEN,4,3,Made,22
39:27,TEN,4,8,Made,8
11:26,KC,4,4,Made,16
4:32,PHI,4,7,Made,16
15:21,KC,4,7,Made,21
15:02,PHI,1,10,Missed,11
56:57,PHI,4,7,Made,22
7:43,NO,4,7,Made,28
23:28,NO,4,8,Made,16
23:23,NO,4,8,Made,16
15:02,NE,4,2,Made,10
35:00,NO,4,9,Missed,31
30:44,NE,4,3,Made,6
53:54,NE,4,9,Made,9
23:58,MIN,4,10,Made,24
42:24,PIT,4,7,Missed,33
42:24,PIT,4,2,Made,28
35:09,PIT,4,10,Made,11
48:18,PIT,4,10,Made,19
46:57,PIT,4,5,Made,25
9:02,TB,4,13,Made,24
15:07,TB,1,10,Made,27
15:04,TB,1,15,Made,32
57:29,TB,4,5,Made,5
7:13,MIA,4,5,Made,12
28:46,LAC,4,4,Made,23
15:35,LAC,4,9,Missed,25
32:48,MIA,4,10,Made,10
51:32,MIA,4,17,Made,17
46:10,MIA,4,5,Made,36
45:09,LAC,3,1,Missed,26
18:11,NYJ,4,1,Made,28
37:14,NYJ,4,6,Made,22
45:29,OAK,4,10,Made,11
2:29,DEN,4,2,Missed,31
21:42,DEN,4,22,Made,32
15:08,DAL,4,5,Made,38
4:48,WAS,4,8,Made,22
27:10,WAS,4,4,Made,4
18:07,LA,4,12,Made,14
33:39,WAS,4,7,Missed,33
52:21,LA,4,15,Made,22
0:53,SEA,4,9,Made,9
17:00,SF,4,10,Made,22
15:22,SF,4,1,Made,19
56:40,SF,4,6,Made,16
18:27,ATL,4,15,Made,33
39:37,GB,4,10,Made,10
34:25,ATL,4,12,Made,35
15:39,DET,4,2,Made,38
35:04,NYG,4,7,Made,7
30:00,LA,4,8,Made,30
24:42,SF,4,16,Made,18
18:51,SF,4,8,Made,30
39:20,LA,4,1,Made,1
9:09,JAX,4,3,Made,5
25:54,JAX,4,4,Made,27
15:42,JAX,4,3,Made,11
0:53,DEN,4,4,Made,20
17:56,BUF,4,9,Made,31
15:46,DEN,4,11,Made,17
15:06,BUF,1,10,Made,37
37:49,DEN,4,7,Made,10
58:56,BUF,4,13,Made,34
48:18,BUF,4,9,Made,9
6:23,CAR,4,10,Made,14
25:52,CAR,4,8,Made,30
15:05,NO,4,15,Made,15
57:03,NO,4,7,Made,31
54:02,NO,4,3,Missed,37
2:38,CHI,4,3,Missed,29
15:06,PIT,1,10,Missed,18
15:00,CHI,1,5,Made,5
53:07,PIT,4,3,Made,14
